,total_loss,style_loss,content_loss
0,26146210.925,26146210.925,5.911308517170255e-06
1,19730917.8,19459275.175,271642.6675292969
2,15419115.375,14711322.05,707793.1134765625
3,12794558.175,11671335.375,1123222.66875
4,11378566.975,9821585.95,1556981.08359375
5,10594217.575,8714894.975,1879322.823828125
6,10039616.225,8049001.95,1990614.298828125
7,9589539.825,7628767.475,1960772.160546875
8,9253222.55,7351811.375,1901411.15859375
9,9034642.525,7182383.175,1852259.3859375
10,8889311.675,7097508.0625,1791803.583203125
11,8770494.625,7063384.625,1707110.055859375
12,8662008.175,7051708.15,1610300.025390625
13,8558968.125,7051675.1875,1507293.091015625
14,8471376.725,7060614.55,1410762.216796875
15,8397154.725,7070644.75,1326510.062109375
16,8330069.95,7073898.0125,1256171.93671875
17,8268135.3,7067621.8375,1200513.5578125
18,8209521.025,7058519.7,1151001.30546875
19,8163457.9125,7053613.6625,1109844.312890625
20,8129438.4375,7054209.525,1075228.94609375
21,8098230.0,7057038.8125,1041191.225390625
22,8067494.7125,7059022.8,1008471.89921875
23,8040406.575,7059500.0625,980906.53515625
24,8015939.1125,7059080.45,956858.577734375
25,7994055.975,7057616.475,936439.384765625
26,7975377.6625,7054855.5,920522.14296875
27,7958729.6375,7050567.75,908161.937109375
28,7940992.8,7045574.625,895418.1640625
29,7921550.4125,7039828.05,881722.4140625
30,7901967.95,7033900.5,868067.4578125
31,7883957.7,7028697.9375,855259.741796875
32,7866961.4125,7024506.3125,842455.214453125
33,7851328.4625,7021681.825,829646.47734375
34,7837085.875,7020025.8125,817059.98828125
35,7822991.1875,7018806.0375,804185.237109375
36,7809500.875,7017109.4875,792391.41953125
37,7796124.425,7014433.1375,781691.362109375
38,7783113.8875,7010881.05,772232.836328125
39,7769748.5125,7006832.925,762915.7296875
40,7756326.3,7003043.125,753283.264453125
41,7743553.6625,6999836.7125,743716.83203125
42,7731398.65,6997239.775,734158.863671875
43,7719459.7875,6994922.6875,724537.1265625
44,7707527.3375,6992818.675,714708.76875
45,7696658.4375,6990759.0375,705899.543359375
46,7687093.875,6988619.725,698474.25859375
47,7677748.825,6986364.2375,691384.680078125
48,7667906.5375,6984078.3625,683828.218359375
49,7657612.5,6981714.6375,675897.95078125
50,7647597.0125,6979199.7375,668397.144921875
51,7637812.7,6976521.3125,661291.478515625
52,7628373.5875,6973798.1875,654575.30390625
53,7619338.9625,6970949.275,648389.642578125
54,7610741.1875,6968026.7375,642714.437109375
55,7602429.3125,6965014.325,637414.8140625
56,7594133.2,6962048.8625,632084.26875
57,7585972.8375,6959327.875,626644.988671875
58,7578168.1375,6956853.2625,621314.959765625
59,7570380.675,6954503.3,615877.48359375
60,7562701.8875,6952123.925,610577.89609375
61,7555316.2875,6949741.7875,605574.43359375
62,7547870.6125,6947245.5625,600625.226953125
63,7540271.0,6944586.45,595684.4875
64,7532971.825,6941787.2375,591184.501953125
65,7525969.875,6938961.6125,587008.24296875
66,7519255.8,6936191.7375,583064.1078125
67,7512733.2,6933604.6375,579128.6390625
68,7506191.15,6931225.85,574965.214453125
69,7499515.1625,6929065.9625,570449.18828125
70,7492879.6125,6927102.575,565777.171875
71,7486463.2875,6925179.7125,561283.634765625
72,7480163.1375,6923175.1125,556987.9734375
73,7474073.975,6921007.35,553066.6890625
74,7468110.1625,6918646.6625,549463.3359375
75,7462344.3,6916109.2625,546234.9125
76,7456699.575,6913560.0875,543139.43828125
77,7451100.725,6911037.1625,540063.709375
78,7445510.825,6908552.75,536957.94765625
79,7440006.775,6906183.3,533823.25390625
80,7434742.6375,6903921.3875,530821.01875
81,7429534.4875,6901755.975,527778.41484375
82,7424159.95,6899672.8,524487.157421875
83,7418734.4625,6897706.5625,521027.8890625
84,7413543.8125,6895822.4625,517721.2765625
85,7408458.95,6894033.6125,514425.216015625
86,7403279.4,6892350.3625,510928.965625
87,7397882.45,6890685.35,507196.978515625
88,7392556.9125,6889016.4875,503540.618359375
89,7387442.525,6887297.2125,500145.237109375
90,7382494.4125,6885519.6125,496974.728515625
91,7377560.0875,6883666.125,493894.001953125
92,7372595.7125,6881793.9375,490801.719140625
93,7367746.325,6879920.2375,487826.087109375
94,7363146.2125,6878092.075,485054.15859375
95,7358580.2625,6876369.475,482210.73046875
96,7354010.575,6874791.35,479219.246484375
97,7349527.0375,6873323.6,476203.428515625
98,7345122.925,6871923.9875,473198.972265625
99,7340679.5625,6870527.15,470152.319140625
