,total_loss,style_loss,content_loss
0,532430736.0,532430736.0,0.0
1,516446417.6,516207464.0,238953.776171875
2,491643468.8,490454715.2,1188753.071875
3,464009523.2,461235340.8,2774179.45625
4,437707281.6,433000668.8,4706611.0375
5,415351972.8,408633993.6,6717982.425
6,398262000.0,389707947.2,8554059.275
7,386127081.6,376083178.4,10043901.05
8,377278788.8,366146159.2,11132627.6
9,369781029.6,357906854.4,11874174.15
10,362943134.4,350569567.2,12373567.05
11,357304535.2,344567487.2,12737044.2
12,353531709.6,340494205.6,13037497.1
13,351575897.6,338268252.8,13307643.85
14,350806889.6,337265364.8,13541529.2
15,350509560.0,336772720.8,13736837.7
16,350178952.0,336286787.2,13892165.0
17,349566880.0,335556686.4,14010194.5
18,348658104.8,334555731.2,14102375.8
19,347497755.2,333325099.2,14172652.9
20,346108782.4,331887981.6,14220797.0
21,344480905.6,330225424.0,14255480.2
22,342583817.6,328298221.6,14285596.4
23,340420572.0,326121565.6,14299004.8
24,338085760.8,323781324.8,14304443.0
25,335755555.2,321451498.4,14304055.0
26,333574851.2,319275407.2,14299441.0
27,331618840.0,317330318.4,14288521.3
28,329888666.4,315612709.6,14275952.1
29,328331723.2,314061668.8,14270053.4
30,326883434.4,312618952.8,14264480.5
31,325485604.0,311230804.8,14254802.3
32,324126048.0,309880012.0,14246034.4
33,322830345.6,308594305.6,14236035.8
34,321636917.6,307415482.4,14221434.6
35,320580646.4,306378068.8,14202581.3
36,319668304.8,305489479.2,14178827.4
37,318871512.0,304723854.4,14147658.5
38,318144738.4,304040293.6,14104445.2
39,317448756.0,303396189.6,14052565.5
40,316760612.0,302766652.0,13993958.1
41,316081657.6,302150248.8,13931406.1
42,315414863.2,301546660.8,13868203.2
43,314776461.6,300971081.6,13805383.0
44,314172100.8,300426150.4,13745946.0
45,313600865.6,299907064.8,13693799.2
46,313054176.8,299402516.0,13651658.1
47,312518440.0,298900208.8,13618228.5
48,311986365.6,298393219.2,13593147.9
49,311457607.2,297884207.2,13573398.0
50,310937360.0,297378448.0,13558915.3
51,310434880.0,296888944.0,13545932.7
52,309952846.4,296417476.0,13535369.7
53,309483225.6,295958696.8,13524526.6
54,309019968.0,295511137.6,13508835.6
55,308556649.6,295069001.6,13487647.1
56,308094928.8,294634776.8,13460153.3
57,307638964.8,294212991.2,13425973.2
58,307196833.6,293812176.8,13384653.1
59,306777555.2,293440972.0,13336582.5
60,306386845.6,293102052.0,13284793.5
61,306021532.0,292791057.6,13230475.0
62,305673734.4,292498131.2,13175598.8
63,305336011.2,292215430.4,13120578.7
64,304998382.4,291932918.4,13065463.25
65,304660487.2,291649899.2,13010584.6
66,304326735.2,291369599.2,12957135.5
67,304005049.6,291099495.2,12905552.2
68,303698432.0,290842148.8,12856281.25
69,303408531.2,290601576.0,12806951.7
70,303131561.6,290373982.4,12757575.2
71,302858332.8,290149910.4,12708424.4
72,302582756.0,289923025.6,12659729.2
73,302302774.4,289692032.0,12610742.45
74,302021266.4,289459285.6,12561985.65
75,301743373.6,289229808.8,12513569.0
76,301471885.6,289007097.6,12464793.05
77,301211994.4,288795900.0,12416094.15
78,300961769.6,288594559.2,12367208.55
79,300716234.4,288398916.8,12317318.5
80,300468158.4,288200762.4,12267391.25
81,300210912.0,287993765.6,12217145.7
82,299944316.0,287778016.8,12166294.4
83,299673256.0,287557318.4,12115942.2
84,299403153.6,287336746.4,12066409.0
85,299140508.8,287122558.4,12017948.95
86,298892899.2,286921705.6,11971196.15
87,298657460.0,286731677.6,11925782.2
88,298430663.2,286549504.0,11881159.45
89,298204618.4,286368136.8,11836479.25
90,297974206.4,286182947.2,11791260.0
91,297737608.0,285992614.4,11744988.35
92,297496680.8,285798722.4,11697957.6
93,297256820.0,285606916.8,11649906.7
94,297022519.2,285421668.8,11600846.05
95,296798226.4,285246818.4,11551408.9
96,296585224.0,285083916.0,11501315.5
97,296377752.0,284926733.6,11451023.8
98,296173270.4,284771349.6,11401926.25
99,295966851.2,284613609.6,11353236.75
