,total_loss,style_loss,content_loss
0,532430736.0,532430736.0,0.0
1,65665550745.6,65610149068.8,55401363.6
2,186231467212.8,186161592729.6,69873272.8
3,259922806374.4,259840815923.2,81988331.2
4,325786889420.8,325698314240.0,88577196.8
5,394602987520.0,394507911168.0,95080691.2
6,448987971584.0,448887963648.0,99999704.0
7,492853959065.6,492750920089.6,103038220.0
8,531852469862.4,531745380761.6,107087324.0
9,557071974400.0,556962637414.4,109336978.4
10,578271356518.4,578160702259.2,110653173.6
11,602903471718.4,602790336921.6,113137698.4
12,611471595929.6,611358742937.6,112854432.8
13,631621818777.6,631506193612.8,115620322.4
14,635643061862.4,635527397376.0,115662164.0
15,654459430502.4,654341636096.0,117790074.4
16,651358660198.4,651243343052.8,115314075.2
17,671441938022.4,671323442380.8,118502008.0
18,672065290240.0,671947574476.8,117716886.4
19,684996709580.8,684877964902.4,118744779.2
20,687383399628.8,687264478003.2,118927942.4
21,696320714342.4,696200462336.0,120244412.0
22,694599948697.6,694480312729.6,119635531.2
23,707703445913.6,707582630297.6,120813984.8
24,707320905728.0,707200345702.4,120561528.0
25,719777451212.8,719654872678.4,122587816.8
26,718828149145.6,718707104153.6,121039001.6
27,723981677363.2,723858581094.4,123096388.0
28,721418937958.4,721296837836.8,122098504.0
29,733267093094.4,733143387340.8,123703202.4
30,722923539660.8,722802114560.0,121427056.0
31,735260855500.8,735138067251.2,122793309.6
32,726992918937.6,726871723212.8,121199476.0
33,743876257382.4,743751758643.2,124497267.2
34,740392291532.8,740269359104.0,122933376.8
35,746342304972.8,746217897984.0,124412981.6
36,741256291942.4,741134807859.2,121477062.4
37,750299755315.2,750175374540.8,124383465.6
38,745844368998.4,745722288537.6,122067883.2
39,757917633740.8,757792558284.8,125074278.4
40,753010927206.4,752887228006.4,123705464.8
41,758046097408.0,757921565900.8,124531932.8
42,759148530892.8,759024753049.6,123786332.8
43,756933964595.2,756809570713.6,124413469.6
44,759625711616.0,759502693990.4,123017880.0
45,775204313497.6,775077848678.4,126458387.2
46,769481382297.6,769356437913.6,124945094.4
47,770832157900.8,770705863475.2,126285606.4
48,771756772556.8,771631572582.4,125199779.2
49,771880268595.2,771754609868.8,125656019.2
50,779589766348.8,779465267609.6,124500950.4
51,777160268185.6,777033344614.4,126930749.6
52,769141722316.8,769017334988.8,124386126.4
53,780805590220.8,780678725632.0,126854909.6
54,771278667776.0,771153559552.0,125111410.4
55,771301480857.6,771175081574.4,126400980.0
56,776818753536.0,776691934822.4,126815756.0
57,778952717107.2,778826291609.6,126428336.0
58,787137488486.4,787011102310.4,126383362.4
59,787871085363.2,787743427788.8,127669490.4
60,789720773427.2,789594308608.0,126469652.8
61,788967247052.8,788840965734.4,126281563.2
62,784267634278.4,784141647872.0,125992895.2
63,794257745510.4,794130061721.6,127672644.8
64,790680423628.8,790553932595.2,126483809.6
65,795832549376.0,795704210227.2,128334309.6
66,787951157248.0,787824633446.4,126530962.4
67,793977316966.4,793849515212.8,127808260.8
68,792256924876.8,792130748416.0,126170758.4
69,797459972096.0,797332537344.0,127438603.2
70,794351363686.4,794224807116.8,126555714.4
71,801939233177.6,801810821939.2,128400189.6
72,796824829952.0,796697401753.6,127421964.8
73,804346337689.6,804217736396.8,128603809.6
74,804162922086.4,804035880550.4,127053111.2
75,805702873907.2,805574436454.4,128438540.8
76,798562320384.0,798435685171.2,126643454.4
77,808381330227.2,808252361932.8,128979420.0
78,810486038528.0,810359042867.2,126991244.0
79,807149469696.0,807020914278.4,128553444.8
80,798018489548.8,797892562124.8,125933428.8
81,808361046835.2,808233323724.8,127731412.0
82,803555036364.8,803428125900.8,126902056.0
83,815614807244.8,815486284595.2,128531088.8
84,802686520524.8,802560337510.4,126177395.2
85,813216235520.0,813088119193.6,128120929.6
86,810072729190.4,809946605158.4,126121788.8
87,812840524185.6,812713299148.8,127213752.8
88,817156377804.8,817029329715.2,127050668.8
89,819911956889.6,819783932313.6,128020213.6
90,811248897228.8,811122294784.0,126599234.4
91,817661267148.8,817532449587.2,128822686.4
92,815377783193.6,815250250137.6,127530102.4
93,819022489190.4,818894176256.0,128324453.6
94,817740388761.6,817612469043.2,127907232.0
95,820778637721.6,820650606592.0,128035647.2
96,820737048576.0,820609928396.8,127116051.2
97,824401625088.0,824272761651.2,128876743.2
98,819601342464.0,819473815961.6,127531144.0
99,818839106355.2,818711363584.0,127735628.0
