,total_loss,style_loss,content_loss
0,11022322.161458334,11022322.161458334,3.1996571621562e-06
1,7524500.672916667,4825899.904166667,2698600.716927083
2,7323059.052083333,5187540.784375,2135518.25703125
3,6599479.670833333,4534431.5875,2065048.0692708334
4,6669805.658333333,5275767.869791667,1394037.8052083333
5,6456968.558333334,4696290.628125,1760677.891796875
6,5860642.697916667,4645004.789583334,1215637.9002604166
7,6043597.335416666,4530902.864583333,1512694.4740885417
8,5503270.697916667,4402714.4125,1100556.2764322916
9,5587260.20625,4323583.316666666,1263676.911328125
10,5309341.25,4269041.567708333,1040299.66953125
11,5463146.547916667,4355153.732291667,1107992.8360677084
12,5161376.16875,4134482.3427083334,1026893.819140625
13,5375270.3875,4273837.83125,1101432.5876302083
14,5128649.675,4195509.028125,933140.6467447917
15,5170450.689583333,4162791.955208333,1007658.7131510417
16,4985878.670833333,4126289.26875,859589.4098958333
17,5025423.6625,4103550.26875,921873.4272135417
18,5062841.779166667,4137098.046875,925743.7434895834
19,5206413.391666667,4161420.5395833333,1044992.8619791666
20,4988569.427083333,4152900.846875,835668.5545572917
21,5055357.083333333,4112262.917708333,943094.1495442708
22,5026106.866666666,4121229.2416666667,904877.6231770833
23,4974778.84375,4119247.183333333,855531.6690104167
24,4917216.402083334,4060677.122916667,856539.3178385417
25,4951187.652083334,4105537.6875,845649.9358072917
26,4973120.64375,4100496.6958333333,872623.9076822917
27,5049845.525,4167938.265625,881907.2540364583
28,4947899.858333333,4046964.209375,900935.6200520833
29,4920054.44375,4112227.10625,807827.3598958333
30,4876472.760416667,4051372.107291667,825100.6506510417
31,4947565.714583334,4157267.5104166665,790298.1828125
32,4880469.597916666,4005702.0791666666,874767.5106770833
33,4916391.527083334,4120284.309375,796107.2446614583
34,4983207.072916667,4066372.5854166667,916834.5416666666
35,4915602.6,4115780.986458333,799821.587109375
36,4845085.179166666,4043098.9385416666,801986.2716145833
37,4815952.479166667,4028810.908333333,787141.5609375
38,4812616.160416666,4033683.2739583333,778932.8727864583
39,4950762.25,4089199.7177083334,861562.5583333333
40,4839442.25625,4050560.3666666667,788881.904296875
41,4944671.60625,4078274.205208333,866397.4089192708
42,4793385.79375,4024596.622916667,768789.1670572917
43,4936748.45,4068850.5989583335,867897.85390625
44,4886754.54375,4056766.872916667,829987.6662760417
45,4785982.170833333,4052928.78125,733053.373046875
46,4796808.85,4027460.8520833333,769347.98671875
47,4859486.834375,4059816.290625,799670.5217447917
48,4784639.516666667,4050619.103125,734020.3834635416
49,4814675.866666666,4029877.2572916667,784798.5923177083
50,4818466.916666667,4025538.246875,792928.678515625
51,4834128.991666666,4020670.425,813458.565234375
52,4835231.697916667,4047163.9614583333,788067.724609375
53,4843043.858333333,4025888.8541666665,817154.9983072917
54,4763533.3875,4032690.3072916665,730843.0556640625
55,4825102.429166666,4043288.426041667,781813.9847005209
56,4871262.808333334,4045150.826041667,826111.9619791667
57,4758176.239583333,4027137.7333333334,731038.4912760417
58,4880316.577083333,4013447.902083333,866868.6597005208
59,4796823.627083333,4058416.8333333335,738406.790625
60,4790624.829166667,3964498.377083333,826126.4354166667
61,4779209.0125,4039370.821875,739838.195703125
62,4693378.15625,3975906.80625,717471.3209635416
63,4773388.370833334,4004726.683333333,768661.6986979167
64,4752267.564583333,3998814.372916667,753453.155859375
65,4751173.495833334,4001767.909375,749405.5630208333
66,4661535.489583333,3953744.855208333,707790.649609375
67,4695113.035416666,3997984.4625,697128.56015625
68,4729286.020833333,3985452.8604166666,743833.136328125
69,4743093.60625,3990940.216666667,752153.4006510417
70,4692602.691666666,3948705.207291667,743897.5134114583
71,4670104.372916667,3946419.13125,723685.233984375
72,4715901.702083333,4001966.203125,713935.5274739583
73,4755909.2875,4008214.278125,747694.9981770833
74,4707642.8125,3998800.4854166666,708842.34609375
75,4727197.320833334,3991150.5104166665,736046.8166666667
76,4661815.85625,3965524.23125,696291.6325520833
77,4710131.7,3966320.453125,743811.2880208333
78,4677450.595833333,3945354.4291666667,732096.159765625
79,4685639.7625,3960959.4625,724680.3192708333
80,4676191.347916666,3978554.732291667,697636.63203125
81,4693447.05,3995041.290625,698405.7256510417
82,4663919.3625,3987295.475,676623.882421875
83,4757781.408333333,4024954.2583333333,732827.148828125
84,4627898.535416666,3972058.9322916665,655839.6053385417
85,4629949.704166667,3969949.1885416666,660000.4975260417
86,4689575.64375,3965084.709375,724490.9760416667
87,4671445.75,3981872.310416667,689573.4289713542
88,4658256.475,3939614.60625,718641.8162760417
89,4655881.025,3960825.653125,695055.3649739583
90,4632306.16875,3931480.278125,700825.9002604167
91,4664855.325,3948552.6416666666,716302.6643229167
92,4662385.929166666,3924122.0208333335,738263.9251302084
93,4546236.345833333,3916817.1625,629419.1656901041
94,4493944.364583333,3926158.638541667,567785.7401041667
95,4623905.808333334,3961403.50625,662502.2895833333
96,4530851.34375,3913300.6083333334,617550.7233072916
97,4579015.926041666,3899531.134375,679484.7947916667
98,4597861.1625,3927310.609375,670550.5362630208
99,4662308.229166667,3962273.060416667,700035.1916666667
