,total_loss,style_loss,content_loss
0,532430736.0,532430736.0,0.0
1,461164620.8,441491033.6,19673586.5
2,461306859.2,441767089.6,19539774.1
3,442627080.0,421279612.8,21347466.7
4,430826582.4,412542570.4,18284016.6
5,368038526.4,349780995.2,18257537.5
6,374040825.6,357200823.2,16840008.1
7,350866902.4,335040201.6,15826697.4
8,329458832.0,314732269.6,14726559.9
9,326482320.8,312500343.2,13981976.4
10,325780423.2,312887490.4,12892929.4
11,318950813.6,305844196.8,13106617.7
12,322100127.2,309778825.6,12321297.8
13,319854776.8,307540327.2,12314449.15
14,313223286.4,301760917.6,11462372.0
15,309196970.4,297614419.2,11582549.65
16,313539099.2,302362268.8,11176827.0
17,313074940.0,301768822.4,11306118.05
18,312603675.2,301349991.2,11253683.5
19,311577253.6,300454232.8,11123021.85
20,315731866.4,304530713.6,11201149.6
21,320093541.6,308770548.8,11322996.3
22,323274688.0,311491553.6,11783131.8
23,316459188.0,305149648.8,11309540.35
24,320485305.6,308828740.8,11656564.8
25,317951164.8,306644602.4,11306560.15
26,317024416.0,305748581.6,11275835.05
27,312558044.8,301723584.0,10834458.7
28,310633295.2,299775556.8,10857734.5
29,308395434.4,297898916.0,10496515.9
30,307606311.2,296863709.6,10742600.55
31,308596890.4,298005750.4,10591139.7
32,305272101.6,294860667.2,10411434.35
33,311631950.4,301007148.0,10624798.4
34,309906725.6,299530588.0,10376134.85
35,308202849.6,297447196.0,10755651.15
36,310006766.4,299574181.6,10432589.45
37,309011052.8,297931613.6,11079439.8
38,309092847.2,298660019.2,10432825.8
39,307177076.8,296421144.8,10755931.65
40,313399640.0,303051336.8,10348308.9
41,315941181.6,305225841.6,10715338.1
42,320247098.4,309269403.2,10977695.15
43,314391045.6,303710870.4,10680174.65
44,317584196.8,306967364.8,10616832.0
45,310059004.8,299599256.8,10459749.25
46,310662568.0,300481828.0,10180745.95
47,303078726.4,293181509.6,9897217.8
48,302210153.6,292641249.6,9568906.65
49,298541776.8,289101493.6,9440280.65
50,299031159.2,289641361.6,9389795.85
51,299486653.6,290060394.4,9426260.35
52,302492195.2,292745106.4,9747092.45
53,308723320.0,298995269.6,9728047.15
54,305742955.2,295703473.6,10039480.45
55,308984748.8,299012648.0,9972109.25
56,301818489.6,291751440.0,10067048.55
57,308018672.8,298259037.6,9759629.5
58,301187926.4,291170963.2,10016958.2
59,308040681.6,298315538.4,9725143.85
60,304093887.2,294070015.2,10023870.7
61,309102740.0,299266094.4,9836648.3
62,311424777.6,301129051.2,10295727.45
63,311368473.6,301322265.6,10046207.7
64,312867923.2,302715012.0,10152911.7
65,306426042.4,296595813.6,9830227.9
66,309797558.4,300200185.6,9597368.95
67,302101816.8,292360197.6,9741619.0
68,308264542.4,299077060.0,9187480.8
69,297225080.0,287609756.0,9615329.0
70,301529035.2,292606777.6,8922255.95
71,299148492.8,289418156.8,9730340.35
72,302126099.2,293200220.0,8925879.45
73,300038804.0,290397618.4,9641183.3
74,298266007.2,289582477.6,8683533.5
75,300612372.8,291198052.0,9414322.5
76,299105199.2,290459903.2,8645295.45
77,302513328.0,293162611.2,9350715.15
78,300716915.2,292120881.6,8596033.8
79,299526752.0,290193412.0,9333341.2
80,302963068.0,294026919.2,8936150.8
81,298541727.2,289288603.2,9253125.25
82,301643420.8,292245079.2,9398338.35
83,300159051.2,290927503.2,9231549.05
84,303518218.4,293924692.0,9593524.95
85,309009250.4,299628071.2,9381176.0
86,303363468.0,293901932.0,9461534.4
87,304509243.2,295337544.8,9171700.2
88,301894760.0,292790188.8,9104569.25
89,302292049.6,293470235.2,8821814.35
90,297713568.8,288914198.4,8799367.75
91,300529579.2,291721676.0,8807905.05
92,294252170.4,285670694.4,8581471.5
93,300932604.8,292167869.6,8764733.8
94,294657587.2,285846062.4,8811526.9
95,306488130.4,297677749.6,8810380.3
96,301782629.6,292659020.8,9123606.25
97,310447851.2,301337274.4,9110578.1
98,301648514.4,292342890.4,9305624.95
99,300685035.2,291681392.0,9003646.1
